distinction_id,property_flg,price,yield,income,built_date,building_structure,rank,struture_flg,total_units,access,address,land_area,land_rights,footprint_square,plan,management_fee,management_flg,building_area,ratio,use_districts,current_state,delivery_time
601021qnc,BUL,"4,980万円",,,1970年4月,鉄骨造3階建 総戸数 4戸,3階建,S造,4戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4,92.56m2 【27.99坪】, 所有権 ,,店舗×1戸  事務所×2戸  2LDK×1戸 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,即時
601320ndk,BUL,"4,980万円",7.10%,354 万円 / 29.5万円,1970年4月,鉄骨造3階建 総戸数 4戸,3階建,S造,4戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4丁目,92.56m2 【27.99坪】, 所有権 ,,店舗×1戸  事務所×2戸  2LDK×1戸 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,相談
601384u4m,BUL,"4,980万円",7.25%,361.2 万円 / 30.1万円,1970年4月,鉄骨造3階建 総戸数 4戸,3階建,S造,4戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4-13-7,92.56m2 【27.99坪】, 所有権 ,,2LDK×1戸  店舗・事務所×3戸 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中（満室）,相談
6017325ux,BUL,"4,980万円",7.10%,354 万円 / 29.5万円,1970年4月,鉄骨造3階建 総戸数 4戸,3階建,S造,4戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4丁目,92.56m2 【27.99坪】, 所有権 ,,店舗×1戸  事務所×2戸  2LDK×1戸 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,相談
6019520vb,BUL,"4,980万円",7.25%,361.2 万円 / 30.1万円,1970年4月,鉄骨造3階建 総戸数 4戸,3階建,S造,4戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩,92.56m2 【27.99坪】, 所有権 ,,2LDK×1戸  店舗・事務所×3戸 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,相談
603260ple,BUL,"4,980万円",7.25%,361.2 万円 / 30.1万円,1970年4月,鉄骨造3階建 総戸数 2戸,3階建,S造,2戸,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4-13-7,92.56m2 【27.99坪】, 所有権 ,,1階2階テナント使用中、3階2LDK ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種低住専,賃貸中（満室）,即時
604698h3k,BUL,"4,980万円",7.25%,361.2 万円 / 30.1万円,1970年4月,鉄骨造3階建,3階建,S造,---,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4丁目,92.56m2 【27.99坪】, 所有権 ,,1・2階店舗事務所、3階住居 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,即時
605664ibz,BUL,"4,980万円",,,1970年4月,鉄骨造3階建,3階建,S造,---,JR総武線 小岩駅  徒歩7分 ,東京都江戸川区西小岩4丁目,92.56m2 【27.99坪】, 所有権 ,,2DK×1戸 店舗、事務所 ,,,215.72m2【65.25坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,即時
6035531lh,APT,"5,590万円",8.90%,496.8 万円 / 41.4万円,1989年7月,木造2階建 総戸数 8戸,2階建,木造,8戸,北総線 新柴又駅  徒歩4分 京成本線 京成小岩駅  徒歩12分 ,東京都江戸川区北小岩,145.4m2 【43.98坪】, 所有権 ,,1K×8戸 ,,,138.8m2【41.98坪】,60 ％ / 200 ％ ,第一種中高住専,賃貸中,相談
6033314fm,APT,"6,300万円",8.07%,508.8 万円 / 42.4万円,1991年2月,木造2階建 総戸数 8戸,2階建,木造,8戸,都営新宿線 船堀駅  徒歩12分 ,東京都江戸川区北葛西2-27-9,193.56m2 【58.55坪】, 所有権 ,,1R×8戸 駐車場 2台,,,169.8m2【51.36坪】,50 ％ / 100 ％ ,第一種中高住専,賃貸中,即時
587272tdr,MAN,"6,780万円",7.15%,484.8 万円 / 40.4万円,1988年10月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,都営新宿線 一之江駅  徒歩14分 都営新宿線 船堀駅  徒歩19分 ,東京都江戸川区松江7-24-22,166m2 【50.21坪】, 所有権 ,,2DK×3戸  1DK×3戸 ,,,190.56m2【57.64坪】1階 ～2階 67.84m2 ／ 3階 54.88m2,60 ％ / 200 ％ ,準工業,賃貸中,相談
600739rup,MAN,"6,780万円",7.15%,484.8 万円 / 40.4万円,1988年10月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,都営新宿線 一之江駅  徒歩14分 都営新宿線 船堀駅  徒歩19分 ,東京都江戸川区松江7丁目,166m2 【50.21坪】, 所有権 ,,1DK×4戸 ,,,190.56m2【57.64坪】,60 ％ / 200 ％ ,準工業,賃貸中,相談
602860rlf,MAN,"6,780万円",7.15%,484.8 万円 / 40.4万円,1988年10月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,都営新宿線 一之江駅  徒歩14分 都営新宿線 船堀駅  徒歩19分 ,東京都江戸川区松江7-24-22,166m2 【50.21坪】, 所有権 ,,,,,190.56m2【57.64坪】,60 ％ / 200 ％ ,,賃貸中（満室）,相談
603427wcv,MAN,"6,780万円",7.15%,484.8 万円 / 40.4万円,1988年10月,鉄骨造3階建 総戸数 6戸,3階建,S造,6戸,都営新宿線 一之江駅  徒歩14分 都営新宿線 船堀駅  徒歩19分 ,東京都江戸川区松江7-24-22,166m2 【50.21坪】, 所有権 ,,1DK×4戸  2DK×2戸 ,,,190.56m2【57.64坪】1-2F:67.84㎡ 3F:54.88㎡,60 ％ / 200 ％ ,準工業,賃貸中,相談
6047963mk,MAN,"6,780万円",7.15%,484.8 万円 / 40.4万円,1988年10月,鉄骨鉄筋コンクリート造3階建,3階建,SRC造,---,都営新宿線 一之江駅  徒歩14分 都営新宿線 船堀駅  徒歩19分 ,東京都江戸川区松江7丁目,166.00m2 【50.21坪】, 所有権 ,,,,,190.56m2【57.64坪】1階 ～ 2階 67.84m2 ／ 3階 54.88,60 ％ / 200 ％ ,準工業,賃貸中,相談
599790cnq,APT,"6,800万円",,,1989年10月,木造2階建 総戸数 6戸,2階建,木造,6戸,東西線 葛西駅  徒歩5分 ,東京都江戸川区東葛西6丁目,125.84m2 【38.06坪】, 所有権 ,,1K×6戸 ,,,121.58m2【36.77坪】,60 ％ / 200 ％ ,第一種住居,賃貸中,相談
591241sbo,BUL,"6,850万円",6.10%,423.6 万円 / 35.3万円,1984年10月,鉄骨造3階建,3階建,S造,---,東西線 葛西駅  徒歩15分 東西線 西葛西駅  徒歩16分 ,東京都江戸川区中葛西7丁目,115.48m2 【34.93坪】, 所有権 ,,店舗・事務所 ,,,207.00m2【62.61坪】,60 ％ / 300 ％ ,第一種住居,賃貸中,相談
604951v2t,LND,"7,584万円",,,,,,,,JR総武線 小岩駅  徒歩5分 ,東京都江戸川区東小岩,167.16m2 【50.56坪】, 所有権 ,,,,,,80 ％ / 400 ％ ,宅地 / 近隣商業,更地,相談
578102nqw,MAN,"8,480万円",8.90%,754.8 万円 / 62.9万円,1977年12月,鉄筋コンクリート造3階建,3階建,RC造,---,都営新宿線 篠崎駅  徒歩9分 ,東京都江戸川区篠崎町6丁目,267.96m2 【81.05坪】, 所有権 ,,,,,448.68m2【135.72坪】,60 ％ / 150 ％ ,第一種中高住専,賃貸中,相談
588289uzz,MAN,"8,480万円",8.90%,754.8 万円 / 62.9万円,1977年12月,鉄筋コンクリート造3階建,3階建,RC造,---,都営新宿線 篠崎駅  徒歩9分 ,東京都江戸川区篠崎町6丁目,267.96m2 【81.05坪】, 所有権 ,,1階事務所・店舗 2階2DK×4戸 3階4LDK ,,,448.68m2【135.72坪】,60 ％ / 150 ％ ,第一種中高住専,賃貸中,相談
